start_timestamp,end_timestamp,ASIN,purchased_marketplace,preferred_marketplace,device_family,device_serial_number,device_software_version,content_type,total_reading_millis,number_of_page_flips
2024-06-03T06:14:30Z,2024-06-03T06:14:36Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,5600,1
2024-06-04T15:44:09Z,2024-06-04T15:44:22Z,B01MPZZLPT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,12100,2
2024-05-28T09:08:00Z,2024-05-28T09:08:20Z,B098MHBF23,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,20200,1
2024-05-30T06:15:13Z,2024-05-30T06:15:18Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,4900,1
2024-05-25T18:05:02Z,2024-05-25T18:05:36Z,BBMY4M0AJ4,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,33700,16
2024-05-26T13:48:58Z,2024-05-26T14:32:49Z,BBD53V2DZT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,2631600,77
2024-06-03T16:56:08Z,2024-06-03T16:58:26Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,137600,2
2024-05-26T16:47:59Z,2024-05-26T17:36:27Z,BBD53V2DZT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,2908400,73
2024-05-25T17:57:50Z,2024-05-25T17:58:28Z,B08N1D3D4P,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,37800,22
2024-05-25T07:13:22Z,2024-05-25T07:13:27Z,D202759FCF9C46E8B777BE4A99F2C097,,India,Kindle E-reader,G0010212031209K8,4212840015,Personal Document,5100,1
2024-06-04T14:49:32Z,2024-06-04T14:50:10Z,BB6RYVB81F,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,37900,1
2024-05-25T17:59:17Z,2024-05-25T18:00:17Z,ZB7DIVJKPR0MAH1HNVOGFMSL0YE4IDSO,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,60300,12
2024-05-25T18:19:43Z,2024-05-25T18:20:29Z,BBU7EYJ950,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,46200,2
2024-05-28T09:21:20Z,2024-05-28T09:58:02Z,B098MHBF23,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,2201900,106
2024-06-04T15:56:57Z,2024-06-04T16:02:39Z,BBI3FFOAIL,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,341800,21
2024-05-25T10:08:04Z,2024-05-25T10:08:24Z,B01LYOSLGO,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,19900,12
2024-05-25T18:09:12Z,2024-05-25T18:10:03Z,B0CD818TD3,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,50400,15
2024-05-25T17:19:26Z,2024-05-25T17:19:37Z,394f05d9-9e9b-40c2-8a0e-7adfc84d7ab8,,India,,de95d070027c4d039dbc90b3507de523,1285786600,E-Book,11000,8
2024-06-01T07:04:47Z,2024-06-01T07:04:58Z,YSBTTZBW4ZMHN6P9CE0TJ3RM3Z0096XN,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,11000,1
2024-05-25T10:34:10Z,2024-05-25T10:34:10Z,BB6T5UEZ62,,India,,de95d070027c4d039dbc90b3507de523,1285786600,E-Book,0,1
2024-05-28T09:07:06Z,2024-05-28T09:07:43Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,37300,6
2024-06-02T07:29:13Z,2024-06-02T07:43:14Z,EC7J7VG03MYJ2UIIK68DP76HMIS6VZTT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,841300,38
2024-05-24T14:48:41Z,2024-05-24T14:50:37Z,D202759FCF9C46E8B777BE4A99F2C097,,India,,de95d070027c4d039dbc90b3507de523,1285786600,Personal Document,115800,19
2024-05-25T17:55:38Z,2024-05-25T17:56:22Z,50577f18-6007-4dc8-b44a-b0f860470617,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,44000,19
2024-05-25T11:13:38Z,2024-05-25T11:16:19Z,B01LYOSLGO,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,160900,1
2024-05-25T18:34:02Z,2024-05-25T18:34:20Z,58KHM1V4XRDBBD9NCUR9HKD4IEEC48XB,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,18300,4
2024-06-01T06:40:17Z,2024-06-01T06:41:04Z,N1V5ED48PH2B1WAKSJ6X55NUZJBCV3ZZ,,India,Kindle E-reader,G0010212031209K8,4212840015,Personal Document,46100,14
2024-05-31T15:47:42Z,2024-05-31T15:49:24Z,4b0a0ef9-0120-4e4e-a9d7-e11a67976292,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,102500,25
2024-05-25T14:21:59Z,2024-05-25T14:22:15Z,BBK2SBTXKM,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,16300,1
2024-06-01T09:13:27Z,2024-06-01T09:18:36Z,EC7J7VG03MYJ2UIIK68DP76HMIS6VZTT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,308300,2
2024-05-27T09:02:32Z,2024-05-27T09:12:49Z,BBD53V2DZT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,616900,16
2024-05-28T16:08:28Z,2024-05-28T17:02:41Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,3253400,44
2024-05-25T18:15:22Z,2024-05-25T18:16:09Z,BBU7EYJ950,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,46900,12
2024-06-01T07:00:19Z,2024-06-01T07:03:09Z,R1NPTA53FH31V1UYA9T087PRNE4U7EE6,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,170500,2
2024-06-01T13:11:42Z,2024-06-01T13:11:55Z,EC7J7VG03MYJ2UIIK68DP76HMIS6VZTT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,12600,1
2024-05-28T14:11:53Z,2024-05-28T15:11:50Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,3597300,78
