author_sort,authors,isbn,id,identifiers,pubdate,publisher,tags,title,uuid
"Foroux, Darius","Darius Foroux","9789083301815","108","amazon:B0BNP6W7KH,google:Ga2NzwEACAAJ,goodreads:68040872,isbn:9789083301815","2022-12-01T13:30:00+05:30","North Eagle Publishing","Self Help, Philosophy, Psychology, Inspirational","Focus on What Matters: A Collection of Stoic Letters on Living Well","45ddc003-346a-4d4d-a9cb-577a87596e0d"
"Pirie, Madsen","Madsen Pirie","","111","goodreads:13337661,asin:B005CHB726,amazon:B005CHB726,guid:58ab6e91058b629d0d1c55f35e6fc548,oasin:0826498949","2006-03-30T13:30:00+05:30","","Philosophy, Psychology, Self Help, Politics, Science","How to Win Every Argument: The Use and Abuse of Logic","d21458c0-152e-4c8d-9049-c228edb9edee"
"Hill, Chase","Chase Hill","","112","asin:B096Y7THL4,amazon:B096Y7THL4,goodreads:58389697","2021-06-21T12:30:00+05:30","","Self Help","Healthy Boundaries: How to Set Strong Boundaries, Say No Without Guilt, and Maintain Good Relationships With Your Parents, Family, and Friends","caaed1c3-2d7b-466f-971d-ff2de07fb3a8"
"Leary, Robert","Robert Leary","","113","amazon:B07Q62L4F7,mobi-asin:B07Q62L4F7,goodreads:44773686","2019-04-01T12:30:00+05:30","","Psychology, Self Help","Overthinking: How to Declutter and Unfu*k Your Mind, Build Mental Toughness, Discover Fast Success Habits, Thinking & Meditation, Mindfulness for Creativity, Slow Down the Brain and Be Yourself","8eeca62f-080b-4a72-b0c5-06086dd042ac"
"Datta, Durjoy","Durjoy Datta","9789357082181","114","isbn:9789357082181,amazon:B0CD818TD3,mobi-asin:B0CD818TD3,goodreads:195449044","2023-09-08T12:30:00+05:30","Penguin Metro Reads","Romance","World's Best Girlfriend","c2a35904-0277-424f-b558-5bfe80375624"
"Painter, Lynn","Lynn Painter","9781665921237","116","amazon:1665921234,isbn:9781665921237,google:SROsEAAAQBAJ,goodreads:60197314","2023-11-28T13:30:00+05:30","Simon & Schuster Books for Young Readers","Contemporary, Romance, Young Adult","Betting on You","54b13a0b-eb7b-4868-8a40-b70d5ecc25be"
"Bhagat, Chetan","Chetan Bhagat","","117","amazon:B013VO02LS,mobi-asin:B013VO02LS,goodreads:26167752","2014-09-30T12:30:00+05:30","Amazon Publishing","Romance, Contemporary, Young Adult","Half Girlfriend","d61bcd13-38fd-4513-8e8e-4e03a271710c"
"Murphy, Monica","Monica Murphy","","118","amazon:B08YQWMH7Q,goodreads:198966989","2021-07-29T12:30:00+05:30","EM Publishing","Romance, Contemporary, Young Adult","Things I Wanted to Say","f228ca6f-4eba-4455-b888-e6a80e3f9484"
"GREEN, JOHN","JOHN GREEN","","119","goodreads:136487172,amazon:B01MYPBJK7","2012-01-10T13:30:00+05:30","Qanita","Young Adult, Contemporary","The Fault in Our Stars by John Green","9b342a92-7c56-4390-935e-c1f115e25501"
"Hazelwood, Ali","Ali Hazelwood","9780593619919","120","goodreads:60683957,isbn:9780593619919,amazon:0593619919","2023-11-07T13:30:00+05:30","G.P. Putnam's Sons Books for Young Readers","Contemporary, Young Adult","Check & Mate","0a5b8307-c729-4e61-a444-2a0697a479e5"
"Bhagat, Chetan","Chetan Bhagat","9781542040464","121","amazon:1542040469,goodreads:41639186,isbn:9781542040464","2018-10-01T12:30:00+05:30","Westland","Mystery, Thriller, Romance, Crime, Suspense","The Girl in Room 105","bd61ceaa-0b32-4885-90c6-12f8090bed5f"
"Brown, Dan","Dan Brown","9781429902304","122","isbn:9781429902304,google:_FKPcZcTKNMC,mobi-asin:B003JH8LPW,goodreads:7856894,amazon:1429902302","1998-02-01T00:00:00+05:30","Thomas Dunne Books","Thriller, Mystery, Suspense, Crime, Science Fiction","Digital Fortress","d9fdec9e-7148-4ad4-b6e8-d195e2bc1c3e"
"Mafi, Tahereh","Tahereh Mafi","9780062085597","123","goodreads:18052853,isbn:9780062085597","2014-02-04T04:30:00+05:30","HarperCollins","Fantasy, Young Adult, Romance, Science Fiction, Paranormal","Ignite Me","7487671b-f187-4542-8915-521f3a8b4ae8"
"Kovach, Carla","Carla Kovach","9781786818829","124","amazon:B07WZMKTB6,mobi-asin:B07WZMKTB6,isbn:9781786818829,goodreads:52699073","2019-11-19T13:30:00+05:30","Bookouture","Thriller, Crime, Mystery, Suspense","Her Dark Heart","5be492bb-6c54-4359-a005-87ae4d1ac701"
"Mukherjee, Siddhartha","Siddhartha Mukherjee","9781982117351","125","goodreads:60321392,amazon:1982117354,isbn:9781982117351","2022-10-25T12:30:00+05:30","Scribner","Science, History, Health","The Song of the Cell: An Exploration of Medicine and the New Human","e21f6538-644b-4638-ab76-0f048dc8477e"
